La Casona | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=fries;burger;sandwich;hot_dog | osm=way/772308053
Pastas Trigo | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=pasta;soup | osm=way/772308054
Valdi Lomits | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=sandwich;burger | osm=way/776815181
Espacio Cocina | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/827234735
Las Sabrosas | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=(sin tag) | osm=way/933649932
Upita! | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=coffee_shop | osm=way/1014099094
Apetitizos | sector=Centro | categoria_id=3 | amenity=fast_food | cuisine=burger | osm=way/1093454061
La Parrilla de Thor | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=steak_house | osm=way/1112593530
Medieval | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=(sin tag) | osm=way/1224661585
Minory | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=chinese | osm=way/1347418444
La Calesa | sector=Centro | categoria_id=3 | amenity=restaurant | cuisine=peruvian | osm=way/1497588826
